Personagem,Localizacao,Filme / Livro,Adjetivo / Característica,Frase
"Kenshin Himura","Casa de bingo clandestina","O Morro dos Ventos Uivantes","Fingindo ser o chefe","O dinheiro não pode comprar a honra que você perdeu!"
"Ash Ketchum","Cassino de luxo","Jane Eyre","Fingindo ser um médico renomado","Eu renuncio a esse título e a toda essa falsidade!"
"Charizard","Mesa de roleta","Orgulho e Preconceito","Fingindo ser detetive secreto","Você é a maior decepção da minha existência!"
"Mewtwo","Corrida de cavalos no jóquei","Razão e Sensibilidade","Que não lembra o próprio nome","A justiça tarda mas ela vai te alcançar hoje!"
"Napoleão Bonaparte","Arquibancada de estádio de futebol","Emma","Que acha que está no ano 1800","Eu vi o olhar de raiva no seu rosto!"
"Cleópatra","Vip box de estádio","Grandes Esperanças","Que acha que está no espaço","Você queimou as cartas antes que eu pudesse ler!"
"Albert Einstein","Vestiário de time de futebol","Oliver Twist","Com dor de barriga repentina","O império dos seus pais vai falir em questão de dias!"
"Júlio César","Gramado de estádio antes do jogo","Um Conto de Duas Cidades","Tentando não dar risada em velório","Você me usou como uma peça num jogo de xadrez!"
"Leonardo da Vinci","Circuito de Fórmula 1 nos boxes","Moby Dick","Tentando segurar o espirro","Eu dei o meu sangue por esse projeto!"
"William Shakespeare","Pista de atletismo","As Aventuras de Huckleberry Finn","Com coceira num lugar difícil","Nunca pensei que o meu próprio irmão fosse me trair!"
"Charlie Chaplin","Ginásio de basquete","As Aventuras de Tom Sawyer","Com chiclete grudado no sapato","Você é o responsável por toda essa tragédia!"
"Dom Pedro I","Piscina olímpica","O Conde de Monte Cristo","Com fiapo de manga no dente","A história vai te julgar como o vilão que você é!"
"Princesa Isabel","Quadra de tênis de saibro","Os Miseráveis","Com meia furada no calcanhar","Eu abri mão da minha felicidade por sua causa!"
"Tiradentes","Pista de patinação no gelo","O Corcunda de Notre-Dame","Com etiquetas da roupa pinicando","Você escondeu a certidão de nascimento por trinta anos!"
"Santos Dumont","Estação de esqui na neve","Dom Quixote de La Mancha","Com etiqueta de preço pendurada na roupa","Eu vou rasgar esse documento na frente de todo mundo!"
"Lampião","Teleférico de montanha gelada","A Divina Comédia","Com zíper da calça aberto","A sua ganância não tem limites!"
"Maria Bonita","Trilha de mountain bike","A Odisséia","Com mancha de café na camisa","Você manchou o nome da nossa família para sempre!"
"Zumbi dos Palmares","Pista de motocross","A Ilíada","Com a calça rasgada atrás","Eu nunca vou aceitar esse casamento forçado!"
"Getúlio Vargas","Pista de kart","Édipo Rei","Com dois sapatos do mesmo pé","Você me jurou lealdade diante do altar!"
"Machado de Assis","Rodeio de touros","Hamlet","Com meias trocadas","A verdade é dolorosa mas vai libertar a todos nós!"
"Clarice Lispector","Exposição agropecuária","Macbeth","Com cabelo totalmente desarrumado","Você acha que pode me comprar com joias caras?"
"Monteiro Lobato","Feira de ciências de escola","Romeu e Julieta","Com pasta de dente no queixo","Eu prefiro a morte à vergonha da derrota!"
"Anita Garibaldi","Feira de tecnologia e inovação","O Mercador de Veneza","Com batom nos dentes","Você escondeu as provas embaixo do próprio colchão!"
"Padre Cícero","Bienal do livro lotada","Sonho de uma Noite de Verão","Com rímel escorrido no rosto","A nossa aliança foi quebrada no instante em que você mentiu!"
"Alexandre o Grande","Vernissage de galeria de arte","A Tempestade","Com fita crepe no óculos quebrados","Eu assisti à sua ruína sem mover um único dedo!"
"Joana d'Arc","Leilão de arte contemporânea","O Rei Lear","Com voz rouca pós-show","Você trocou a sua dignidade por um cargo político!"
"Isaac Newton","Museu de história natural ao lado do dinossauro","Fausto","Com zumbido constante no ouvido","A sua hora chegou e não há para onde fugir!"
"Galileu Galilei","Planetário no escuro","Guerra e Paz","Com cisco no olho","Eu vou revelar tudo na coletiva de imprensa!"
"Marie Curie","Jardim botânico na estufa de plantas","Anna Karenina","Com nó na garganta de emoção","Você destruiu a reputação da única pessoa que te amava!"
"Beethoven","Zoológico na jaula do leão","Crime e Castigo","Com solavancos de soluço","Essa herança carrega uma maldição secular!"
"Mozart","Aquário gigante no túnel dos tubarões","Os Irmãos Karamázov","Com enjoo de viagem","Eu não vou permitir que você toque num único centavo!"
"Vincent van Gogh","Parque temático de dinossauros","O Idiota","Com insolação de praia","Você foi a pior escolha da minha vida inteira!"
"Pablo Picasso","Resort all-inclusive na piscina","Noites Brancas","Com congelamento nos dedos","A traição veio de onde eu menos esperava!"
"Frida Kahlo","Cruzeiro marítimo no deque principal","O Mestre e Margarida","Com bolhas no pé de caminhar","Eu vou recuperar o que é meu por direito de nascença!"
"Salvador Dalí","Sótão empoeirado de casa antiga","Doutor Jivago","Com câimbra nos dedos da mão","Você jogou o nosso nome na lama!"
"Sigmund Freud","Porão escuro com teias de aranha","Lolita","Com braço dormindo","A noite está escura mas a minha vingança será luminosa!"
"Charles Darwin","Garagem lotada de caixas","O Iluminado (Livro)","Com a perna formigando","Você mentiu sobre o teste de DNA!"
"Karl Marx","Lavanderia de apartamento pequena","It: A Coisa","Com torcicolo no pescoço","Eu não sou o filho que você esperava que eu fosse!"
"Adam Smith","Varanda gourmet com churrasqueira","Carrie a Estranha","Com dor de cabeça enxaqueca","Você me transformou no monstro que você tanto temia!"
"Sócrates","Sacada de apartamento no 20º andar","Misery: Louca Obsessão","Com falta de ar de ansiedade","A sua ganância destruiu o amor da sua vida!"
"Platão","Telhado de casa em dia de chuva","Sob a Redoma","Com batimentos cardíacos acelerados","Eu prefiro andar sozinho a caminhar com cobras!"
"Aristóteles","Jardim dos fundos com gramado","O Apanhador de Sonhos","Com borboletas no estômago de nervoso","Você vendeu a empresa para os nossos maiores inimigos!"
"Pitágoras","Horta comunitária de bairro","Dança da Morte","Com nó no estômago de medo","A dor que eu sinto hoje será a sua dor amanhã!"
"Arquimedes","Quarto de bebê recém-nascido","A Torre Negra: O Pistoleiro","Com mãos suando frio","Eu vi a luz nos seus olhos apagar!"
"Júlio Verne","Quarto de adolescente bagunçado","O Hobbit","Com joelhos tremendo","Você trocou a verdade por uma mentira confortável!"
"H.G. Wells","Quarto de casal com cama desfeita","O Senhor dos Anéis: O Retorno do Rei","Com dentes batendo de frio","O sangue fala mais alto que qualquer contrato!"
"Agatha Christie","Banheiro pequeno com chuveiro queimado","O Silmarillion","Com queixo caído de choque","Eu nunca vou me curvar diante da sua autoridade!"
"Edgar Allan Poe","Banheira de hidromassagem","As Crônicas de Nárnia","Com olhos arregalados de susto","Você foi a causa da minha maior ruína!"
"Dom Quixote","Cozinha americana com balcão","O Leão a Feiticeira e o Guarda-Roupa","Com boca aberta de espanto","A tempestade lá fora é nada comparada à raiva no meu peito!"
"Sancho Pança","Dispensa de mantimentos lotada","A Bússola de Ouro","Com sorriso amarelo de vergonha","Você me deixou esperando na chuva por quatro horas!"
"Robin Hood","Corredor estreito de cortiço","O Nome do Vento","Com rosto vermelho de vergonha","O passado voltou pra cobrar a sua dívida!"
"Rei Arthur","Escada de emergência do prédio","A Sabedoria do Medo","Com olhar vago de brisa","Eu nunca vou perdoar o que você fez naquele verão!"
"Merlim","Hall de entrada de edifício","O Temor do Sábio","Com olhar fixo assustador","A farsa acabou tire essa máscara de bonzinho!"
"Guinevere","Portaria de condomínio residencial","O Caminho dos Reis","Com queixo levantado de arrogância","Você vendeu os meus sonhos pelo preço de uma banana!"
"Conan","Playground de prédio","A Guerra dos Tronos","Com sobrancelha levantada de desconfiança","Fui eu que comi o seu iogurte de morango."
"Hércules","Quadra poliesportiva de condomínio","A Fúria dos Reis","Com biquinho de birra","Na verdade eu não sei nadar."
"Zeus","Salão de festas de prédio após o evento","A Tormenta de Espadas","Com braços cruzados de pirraça","Eu tenho um irmão gêmeo secreto morando no Sul."
"Poseidon","Sala de jogos com sinuca","O Festim dos Corvos","Com mãos na cintura de bronca","Eu finjo que entendo de vinho mas só olho o preço."
"Hades","Sauna de condomínio","A Dança dos Dragões","Com dedo em riste de acusação","Eu derrubei a sua jarra favorita e culpei o gato."
"Afrodite","Piscina de condomínio","O Aprendiz de Assassino","Com mãos na cabeça de desespero","Eu durmo com a luz do corredor acesa até hoje."
"Atena","Deck de madeira de casa de praia","Duna","Com mãos no rosto de vergonha","Eu não sou formado em medicina sou mágico!"
"Apolo","Chácara de aluguel no fim de semana","Messias de Duna","Com punhos fechados de raiva","Eu usei a sua escova de dentes sem querer semana passada."
"Medusa","Sítio com galinheiro","Filhos de Duna","Com palmas abertas de rendição","Eu odeio a sua comida mas comia pra te agradar."
"Minotauro","Curral de fazenda com vacas","Neuromancer","Com joelhos no chão pedindo perdão","Eu perdi o aluguel no jogo do bicho."
"Centauro","Pasto de gado","Fundação","Com postura de lutador","Eu inventei que tinha alergia só pra não ir na sua festa."
"Fênix","Pomar de jabuticabas","Fundação e Império","Convencido de que é um repolho","Eu sei quem roubou o dinheiro do cofrinho em 2015."
"Loki","Casa de campo com lareira","Segunda Fundação","Com a voz de um vilão de desenho","Eu tenho pavor de borboletas Amarelas."
"Odin","Cabana de madeira na floresta","Eu Robô","Que só se comunica por rimas","Eu menti no meu currículo e não sei usar o Excel."
"Anúbis","Casa na árvore infantil","2001: Uma Odisséia no Espaço (Livro)","Que faz efeito sonoro pra tudo que faz","Eu assisti todos os episódios sem você!"
"Esfinge","Palafita na beira do rio","O Guia do Mochileiro das Galáxias","Que acha que a vida é um musical","Eu finjo que tô ouvindo música mas o fone tá desligado."
"Faraó","Oca indígena","O Restaurante no Fim do Universo","Que narra a própria vida em voz alta","Eu peguei a sua jaqueta emprestada e manchei de café."
"Gladiador","Tenda de acampamento no escuro","A Vida o Universo e Tudo Mais","Que acha que é um gato preso num corpo humano","Eu sei o seu segredo mais obscuro!"
"Centurião","Trailer de viagem estacionado","Até Mais e Obrigado pelos Peixes","Que só consegue andar de lado como caranguejo","Eu troquei o seu shampoo por condicionador."
"Espartano","Motorhome na estrada","Quase Sem Dano","Que acha que tudo ao redor é feito de chocolate","Eu coloco ketchup na pizza de calabresa."
"Viking","Casa flutuante no lago","O Homem do Castelo Alto","Que tem pavor da palavra 'Batata'","Eu nunca li o livro que eu disse que amava."
"Corsário","Iglu de gelo no ártico","Androides Sonham com Ovelhas Elétricas?","Que acha que o mediador é Deus","Eu escutei a sua conversa atrás da porta do banheiro."
"Ninja","Tenda de beduíno no deserto","Solaris","Que se assusta com a própria sombra","Eu tenho uma conta secreta com três reais."
"Samurai","Castelo de areia gigante na praia","Cama de Gato","Que aplaude tudo que os outros dizem","Eu finjo que sei falar inglês em reuniões."
"Geisha","Casinha de cachorro no quintal","Harry Potter e a Câmara Secretinha","Que pede desculpas a cada 3 segundos","Eu quebrei o seu vaso de estimação e colar com cuspe."
"Imperador chinês","Galinheiro barulhento","Harry Potter e o Prisioneiro de Azkaban","Que acha que é um agente secreto em missão","Eu mandei a mensagem pra pessoa errada!"
"Monge tibetano","Estábulo de cavalos","Harry Potter e o Cálice de Fogo","Que acha que está num comercial de xampu","Eu sei quem é o verdadeiro pai do bebê!"
"Cavalheiro medieval","Canil de adestramento","Harry Potter e a Ordem da Fênix","Que tenta vender coisas imaginárias","Eu tenho medo de escuro e durmo de fralda."
"Bufão do rei","Gatil de gatos","Harry Potter e as Relíquias da Morte","Que só fala usando jargões de futebol","Eu não fui trabalhar porque fiquei jogando videogame."
"Alquimista","Colmeia gigante de abelhas","O Ladrão de Raios","Que só fala usando termos médicos complicados","Eu peguei o seu carro de madrugada e arranhei a porta."
"Cangaceiro","Formigueiro sob a terra","O Mar de Monstros","Que fala como um pirata do século XVII","Eu comi a ração do cachorro pra ver se era boa."
"Boiadeiro","Ninho de pássaros no topo da árvore","A Maldição do Titã","Que fala como um locutor de leilão","Eu finjo que sou surdo quando vêm me pedir dinheiro."
"Bandeirante","Caverna de morcegos","A Batalha do Labirinto","Que fala como uma dublagem dos anos 80","Eu robava os docinhos da mesa antes da festa começar."
"Pajé","Buraco de tatu","O Último Olímpico","Que fala como um personagem de novela mexicana","Eu tenho uma coleção secreta de meias furadas."
"Curupira","Toca de coelho profunda","Jogos Vorazes: Em Chamas","Que fala como um robô com bateria fraca","Eu inventei essa história toda pra te impressionar!"
"Saci Pererê","Aquário de peixes dourados","Jogos Vorazes: A Esperança","Que responde tudo cantando ópera","Eu votei no candidato errado por engano."
"Mula sem Cabeça","Gaiola de passarinho","A Cantiga dos Pássaros e das Serpentes","Que responde tudo com perguntas profundas","Eu esqueci o aniversário da minha própria mãe."
"Iara","Terrário de iguanas","Divergente","Que acha que é o rei da Inglaterra","Eu tô usando a sua senha do Netflix faz três anos."
"Caipora","Orquidário de estufa","Insurgente","Que acha que é um bebê gigante","Eu sei de onde vem aquele cheiro estranho no quintal."
"Boto cor-de-rosa","Plantação de milho em milharal","Convergente","Que acha que está flutuando no espaço","Eu finjo que sei dançar salsa mas só mexo os ombros."
"Negrinho do Pastoreio","Plantação de café","Maze Runner: Correr ou Morrer","Que acha que o chão é lava vulcânica","Eu caí no golpe do bilhete premiado ontem."
"Cabeça de Cuia","Canavial alto","A Culpa é das Estrelas","Que acha que os atores são estátuas","Eu perdi a sua aliança de noivado na praia!"
"Mapinguari","Plantação de girassóis","Cidades de Papel","Que só anda dando passos de dança","Eu não sou seu amigo sou um espião contratado!"
"Chapeuzinho Vermelho","Plantação de morangos","Quem é Você Alasca?","Que faz mímica involuntária de tudo","Eu menti a minha idade a vida inteira."
"Lobo Mau","Horta orgânica","O Ódio que Você Semeia","Que confunde todas as palavras com comida","Eu tenho medo de palhaço de festa infantil."
"João","Parreiral de uvas","Vermelho Branco e Sangue Azul","Que tem surtos de risada maléfica","Eu troquei o sal pelo açúcar na receita da sua mãe."
"Maria","Vinha de vinhos","É Assim que Acaba","Que só fala sussurrando segredos inúteis","Eu sou o dono daquele perfil fake que te curte."
"Bela","Olival de azeitonas","É Assim que Começa","Que acha que é um alienígena disfarçado","Eu não sei andar de bicicleta até hoje."
"Fera","Pomar de laranjas","Os Sete Maridos de Evelyn Hugo","Que tem medo de pessoas de chapéu","Eu gastei o dinheiro do condomínio em figurinhas."
"Peter Pan","Castanhal na Amazônia","Daisy Jones & The Six","Que acha que é um dinossauro T-Rex com braços curtos","Eu sei qual é a combinação do cofre!"
"Capitão Gancho","Seringal de borracha","Leitura de Verão","Que imita os movimentos do parceiro 2 segundos depois","Eu mandei um áudio de cinco minutos falando mal de você!"
"Sininho","Pântano cheio de mosquitos","Loucos por Livros","Que acha que é um jurado de reality show","Eu chorei assistindo o comercial de sabão em pó."
"Pinóquio","Manguezal na maré baixa","A Hipótese do Amor","Que dá notas de 0 a 10 pra tudo","Eu tenho um terceiro mamilo escondido."
"Gepeto","Dunas de areia caindo","A Razão do Amor","Que tenta adivinhar o futuro de forma errada","Eu menti que sabia cozinhar e pedi comida fora."
"Alvo Dumbledore","Oásis com palmeiras no deserto","Teto para Dois","Que traz um amigo imaginário para a cena","Eu esqueci a minha própria data de nascimento."
"Severo Snape","Cachoeira com poço fundo","O Povo do Ar: O Príncipe Cruel","Que acha que a plateia são zumbis","Eu durmo com um ursinho de pelúcia chamado Bob."
"Ron Weasley","Beira de rio com piranhas","Corte de Espinhos e Rosas","Que tenta ensinar etiqueta em momentos absurdos","Eu tenho nojo de chule mas o meu cheira mal."
"Hermione Granger","Lagoa azul cristalina","Corte de Névoa e Fúria","Que fala em código secreto que ninguém entende","Eu derrubei o bolo de noivado no chão e montei de novo."
"Voldemort","Praia deserta de surfe","Corte de Asas e Ruína","Que só fala usando nomes de frutas","Eu não sou seu primo de segundo grau de verdade!"
"Sirius Black","Recife de corais no fundo do mar","Trono de Vidro","Que acha que o microfone é uma coxinha","Eu peguei o seu carregador e não vou devolver."
"Frodo Baggins","Abismo de penhasco","Cidade dos Ossos","Que tem pavor de barulho de papel","Eu coloco maionese no feijão escondido."
"Samwise Gamgee","Caverna com estalactites","As Crônicas de Amor e Ódio","Que comemora cada palavra dita como um gol","Eu perdi a chave da casa dentro do bueiro."
"Aragorn","Gruta subterrânea com ilha","De Sangue e Cinzas","Que acha que está no Faustão no 'Ô Loco Meu'","Eu finjo que tenho compromisso pra ir embora cedo."
"Sauron","Vulcão adormecido na cratera","Quarta Asa","Que acha que está no Silvio Santos pedindo 'Quem quer dinheiro'","Eu tenho pavor de espelho no escuro."
"Bilbo Baggins","Geyser jorrando água quente","Iron Flame","Que narra a cena como um documentário do National Geographic","Eu sei quem riscou a pintura do seu carro!"
"Katniss Everdeen","Geleira derretendo","Heartstopper","Que fala como um comentarista esportivo chato","Eu não sei a tabuada do sete até hoje."
"Peeta Mellark","Fjord norueguês congelado","Persepolis","Que fala como um pastor de TV de madrugada","Eu inventei essa dor de barriga só pra ir pra casa."
"Edward Cullen","Tundra gelada","Maus","Que fala como um leiloeiro de gado","Eu rasguei o seu livro favorito sem querer."
"Bella Swan","Estepes da Sibéria","Watchmen","Que fala como um comandante de avião na turbulência","Eu coloquei a culpa no cachorro mas fui eu que comi o assado."
"Jacob Black","Savana africana com leões","V de Vingança","Que fala como um DJ de rádio de charme","Eu sou viciado em novela mexicana da tarde."
"Tarzan","Jungle tropical fechada","Sandman: Prelúdios e Noturnos","Que fala como um garçom de restaurante fino","Eu troquei os rótulos dos remédios de lugar!"
"Tio do pavê","Deserto de sal gigante","Batman: O Cavaleiro das Trevas Retorna","Que fala como um dublador de filme de ação","Eu nunca fui em Paris as fotos eram montagem!"
"Primo","Cânion profundo","Batman: A Piada Mortal","Que fala como um vilão de anime gritando golpes","Eu tenho pavor de pombo e saio correndo."
"Sogra","Vale dos reis","Superman: Entre a Foice e o Martelo","Que fala como um mestre de artes marciais sábio","Eu não sei usar o fio dental direito."
"Cunhado","Pirâmide do Egito por dentro","Guerra Civil (HQ)","Que fala como uma vovó oferecendo bolo","Eu finjo que leio os termos de uso na internet."
"Vizinha","Nave-mãe alienígena pairando sobre a Terra","Manhwa Solo Leveling","Que fala como uma criança de 4 anos birrenta","Eu chorei quando o Mufasa morreu e choro até hoje."
"Blogueira","Base espacial na Lua","One Piece (Mangá)","Que fala como um adolescente revoltado","Eu perdi os documentos da empresa no táxi."
"Influenciador","Colônia humana em Marte","Naruto Shippuden","Que fala como um coach quântico de reprogramação","Eu não sei fritar um ovo sem queimar."
"Gamer","Estação de pesquisa em Titã","Attack on Titan (Shingeki no Kyojin)","Que fala como um fiscal de vigilância sanitária","Eu copiei o trabalho da internet e tirei dez."
"Otaku","Anéis de Saturno em órbita","Demon Slayer (Kimetsu no Yaiba)","Que fala como um perito criminal de CSI","Eu escutei a sua senha do cartão quando você digitou."
"Hipster","Buraco negro absorvendo luz","Jujutsu Kaisen","Que fala como um repórter de cobertura de tragédia","Eu sei onde você escondeu o diário secreto!"
"Faria Limer","Supernova explodindo no espaço","Death Note","Que fala como um apresentador de circo animado","Eu tenho pavor de barulho de bexiga estourando."
"Tia do Zap","Nave geracional à deriva","Dragon Ball Z","Que fala como um guia de museu entediado","Eu passei o cartão de crédito no limite máximo ontem."
"Jovem místico","Laboratório secreto sob o gelo da Antártida","My Hero Academia (Boku no Hero)","Que fala como um vendedor de colchão de feira","Eu fingi que não vi você acenando pra mim na rua."
"Vegano","Cidade submersa de Atlântida","Fullmetal Alchemist: Brotherhood","Que fala como um cobrador de van de lotação","Eu tenho uma tatuagem secreta de um pato no pé."
"Sommelier de cerveja","Triângulo das Bermudas no meio da tempestade","Hunter x Hunter","Que fala como um síndico irritado em reunião","Eu perdi o seu fone de ouvido sem fio no ônibus."
"Crossfiteiro","Centro da Terra com dinossauros vivos","Bleach","Que fala como um juiz no STF lendo voto longo","Eu não sou advogado de verdade sou ator de teatro!"
"Hater","Mundo em miniatura dentro de uma gota d'água","Tokyo Ghoul","Que fala como um leiloeiro de arte refinado","Eu coloco açúcar na salada de tomate."
"Troll","Dimensão do limbo onde o tempo parou","Chainsaw Man","Que fala como um pescador contando mentira","Eu troquei o seu shampoo por tinta de cabelo sem querer!"
"Nerd","Reino das nuvens sobre um pé de feijão","Spy x Family","Que fala como um turista gringo tentando falar português","Eu assisti a temporada inteira sem te esperar e fingi surpresa."
"Cosplayer","Castelo voador suspenso no ar","Neon Genesis Evangelion","Que fala como um alienígena aprendendo palavras humanas","Eu sei quem foi que quebrou a janela da vizinha em 2010."
"Fã de pop","Cidade futurista do ano 3000 com carros voadores","Cowboy Bebop","Que fala como um robô com inteligência limitada","Eu durmo de meia mesmo no calor de quarenta graus."
"Pagodeiro","Metrópole cyberpunk cheia de neon e chuva","Berserk","Que fala como um aplicativo de mapa recalculando rota","Eu não gosto do seu cachorro mas finjo que amo."
"Rocker","Mundo pós-apocalíptico estilo Mad Max","Vinland Saga","Que fala como uma mensagem gravada de telemarketing","Eu menti pro médico que faço exercícios todo dia."
"Sertanejo","Terra devastada por zumbis","JoJo's Bizarre Adventure","Que fala como um locutor de propaganda de remédio nos termos finais","Eu perdi a comadre de estimação da sua avó."
"Funkeiro","Bunker atômico no dia do fim do mundo","Sailor Moon","Que fala como um locutor de rodeio no momento do pião","Eu coloco feijão por baixo do arroz só pra irritar."
"Rapper","Arca de Noé durante o dilúvio","Saint Seiya (Cavaleiros do Zodíaco)","Que fala como um narrador de corrida de cavalos","Eu sei que você lê o meu diário escondido!"
"Hippie","Jardim do Éden com a serpente","Yu Yu Hakusho","Que fala como um juiz de boxe","Eu comprei essa roupa barata e disse que foi cara."
"Mãe de pet","Torre de Babel em construção","InuYasha","Que fala como um treinador de boxe no corner","Eu tenho pavor de andar em escada rolante."
"Pai de planta","Labirinto do Minotauro sem saída","Monster","Que fala como um apresentador de jornal bancada de TV","Eu não sei assobiar e finjo que tô soprando."
"Acumulador","Monte Olimpo na casa dos deuses","Code Geass","Que fala como um meteorologista","Os alienígenas desceram no meu quintal e pediram café."
"Minimalista","Submundo de Hades no rio Estire","Steins;Gate","Que fala como um crítico de arte esnobe","Eu não sou deste planeta sou de Alpha Centauri!"
"Mão de vaca","Valhala dos vikings em banquete","Sword Art Online","Que fala como um chef Michelin bravo","O dragão acordou e tá com fome de rosquinha."
"Ostentador","Asgard sobre a ponte arco-íris","Demon Slayer: Mugen Train","Que fala como um árbitro de futebol usando VAR","A minha sombra decidiu andar por conta própria."
"Comprador compulsivo","El Dorado a cidade de ouro perdida","Your Name","Que fala como um capitão de navio pirata em tempestade","Cuidado com o buraco de minhoca no banheiro!"
"Fura-fila","Shangri-La nas montanhas sagradas","O Tempo com Você","Que fala como um mágico que errou o truque","A gravidade vai desligar em três dois um..."
"Passageiro","Camelot na Távola Redonda","Suzume","Que fala como um hipnotizador amador","O meu robô de limpeza acabou de dominar a casa."
"Carona","Floresta encantada de Sherwood","A Voz do Silêncio","Que fala como um ventríloquo brando com o boneco","Eu viajei no tempo e descobri que você virou rei."
"Piloto de fuga","País das Maravilhas no chá do Chapeleiro","Akira (Mangá)","Que fala como um dublador de desenho animado clássico","O gato tá transmitindo um sinal em código morse com o rabo."
"Ciclista","Terra do Nunca voando com Peter Pan","Nausicaä do Vale do Vento","Que fala como um monge tibetano","A lua cheia transformou o síndico num lobisomem!"
"Skatista","Cidade dos Esmeraldas em Oz","Princesa Mononoke","Com medo de espelhos","Eu vim do ano 3045 pra te avisar sobre o pudim."
"Surfista","Hogwarts na sala do grande salão","A Viagem de Chihiro","Com pavor de sombras","O espelho tá refletindo o passado de outra pessoa."
"Maratonista","Beco Diagonal nas lojas mágicas","Meu Amigo Totoro","Com trauma de despertador","Os brinquedos da sala estão conversando em secreção."
"Neta","Prisão de Azkaban na tempestade","O Castelo Animado","Que acha que tudo é uma pegadinha","A nave mãe tá esperando a minha resposta em cinco minutos."
"Sobrinho","Mordor na Montanha da Perdição","Ponyo","Que fala dando gargalhadas de vilão","Eu engoli uma poção de encolhimento sem querer!"
"Amigo da onça","Condado dos Hobbits na toca","O Serviço de Entregas da Kiki","Que só responde com frases de efeito de filmes","O quadro da parede piscou pra mim e deu risada."
"Falso magro","Taverna medieval cheia de orcs e elfos","Vidas ao Vento","Que tenta ler as mãos dos outros","A minha varinha mágica tá com mau contato."
"Atleta de fim de semana","Masmorra de castelo com correntes","O Menino e a Garça","Que se acha um influenciador de 10 milhões de seguidores","Eu descobri que a Terra é formato de rosquinha!"
"Apostador","Torre da princesa com dragão guardião","Matrix Resurrections","Que faz pose de modelo a cada 5 segundos","O duende do jardim roubou a minha carteira."
"Sonhador","Ponte do troll cobrando pedágio","Avatar: O Caminho da Água","Que só anda de costas","A matriz do código tá caindo na minha frente!"
"Hipnotizador","Cemitério maldito em noite de lua cheia","Gladiador II","Com risada contagiante","Eu virei um personagem de gibi e não consigo sair da página."
"Mágico","Navio fantasma do Cinto Holandês","Duna: Parte 2","Que se assusta fácil","A geladeira tá emitindo uma frequência alienígena."
"Mestre de RPG","Ilha do Tesouro com mapa escondido","Oppenheimer","Super competitivo","O tempo parou e só nós dois estamos nos mexendo!"
"Jogador de bingo","Caverna dos 40 Ladrões abrindo","Barbie (Filme)","Com pose de astro do rock","Eu conversei com uma árvore e ela me deu um conselho ruim."
"Velhinha","Lâmpada mágica por dentro","Spider-Man: Sem Volta Para Casa","Que só fala gírias dos anos 80","A minha capa de invisibilidade tá rasgada no joelho."
"Tio da sinuca","Ventre da baleia do Pinóquio","Top Gun: Maverick","Que lê pensamentos errados","O trovão lá fora falou o meu nome completo!"
"Promoter","Fábrica de chocolates do Willy Wonka na sala do rio de chocolate","The Batman","Que acha que é a pessoa mais famosa do mundo","Eu encontrei o pote de ouro mas só tinha feijão dentro."
"Segurança de balada","Oficina do Papai Noel no Polo Norte","Guardians of the Galaxy Vol. 3","Que anda dançando mambo","O meu carro voador ficou sem bateria no ar."
"Pipoqueiro","Trens no Polo Express em velocidade máxima","Super Mario Bros. O Filme","Que fala igual ao Yoda","A pedra mágica tá esquentando no meu bolso!"
"Baiana do acarajé","Matriz do código caindo em tela verde","Wicked","Com mania de arrumar o cabelo","Eu fui teletransportado pro lugar errado!"
"Vendedor de algodão doce","Dentro de um jogo de videogame em 8-bits","Moana 2","Com tique de estalar os dedos","O monstro embaixo da cama tá pedindo um cobertor."
"Padeiro de sonho","Dentro da mente humana na sala de memórias","Divertida Mente 2","Que chora quando fica feliz","A sereia da piscina tá reclamando do cloro."
"Barman","Sonho dentro de outro sonho","Deadpool & Wolverine","Que ri quando fica brabo","Eu li a mente do pato e ele odeia todo mundo."
"Atendente de telemarketing","Linha do tempo alternativa desmoronando","Coringa: Delírio a Dois","Desconfiado de conspirações","A porta secreta da estante abriu sozinha!"
"Suporte técnico","Estação de trem plataforma 9 3/4","Alien: Romulus","Acreditando em ETs na terra","O portal do guarda-roupa me levou direto pra roça."
"Frentista","Voo de tapete mágico sobre o deserto","Beetlejuice Beetlejuice","Sentindo frio nos pés","A minha vassoura voadora tá com pneu furado."
"Lavador de carro","Submarino do Capitão Nemo Nautilus","Nosferatu","Tentando disfarçar bocejos","Eu descobri que a minha avó é uma ciborgue da NASA."
"Vendedor de consórcio","Laboratório do Doutor Frankenstein no dia da tempestade","Pobres Criaturas","Fazendo propaganda de si mesmo","O dinossauro da praça tá vivo e quer passear."
"Fiscal da prefeitura","Castelo do Conde Drácula na Transilvânia","Assassinos da Lua das Flores","Com fobia de gravatas","A inteligência artificial do meu celular tá apaixonada por mim."
"Agente de trânsito","Pirâmide maia no momento do eclipse","A Baleia","Com pavor de chiclete","Eu comi a fruta proibida e agora vejo cores novas."
"Policial","Templo de Indiana Jones com a pedra gigante rolante","TÁR","Acreditando ser de origem nobre","O fantasma do castelo tá pedindo a senha do Wi-Fi."
"Detetive particular","Ruínas de Pompéia durante a erupção do Vesuvius","Tudo em Todo o Lugar ao Mesmo Tempo","Falando rápido demais pra acompanhar","A estrela cadente caiu dentro do meu copo de guaraná."
